,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 20,1689,1691,1953,,4.6946,0.8675,14.5305,0.9854,1.0131,0.9431,3.9442,2.2657,2.1136,2.1028,42.1796,,4.6949,0.8666,14.5300,0.9850,1.0129,0.9427,3.9397,2.2653,2.1126,2.1032,42.1624,,4.6856,0.8834,14.5259,0.9874,1.0061,0.9460,3.9368,2.2746,2.1295,2.1074,42.7574,,4.6946,0.8675,14.5305,0.9179,0.9664,1.0538,3.9158,2.0391,2.1628,2.2361,41.3069,,4.6949,0.8666,14.5300,0.9177,0.9660,1.0534,3.9115,2.0381,2.1635,2.2365,41.3097,,4.6856,0.8834,14.5259,0.9211,0.9668,1.0484,3.9106,2.0569,2.1887,2.2256,41.9714,,22.3536%,11.7682%,1.1236%,0.4731%,23.6546%,9.6393%,16.8539%,0.1183%,0.2957%,0.1183%,0.0000%,0.0000%,0.1183%,13.4831%,0.0000%,,19.3548%,10.1895%,0.9729%,0.4096%,20.4813%,8.3461%,14.5929%,0.1024%,0.2560%,0.1024%,0.0000%,0.0000%,0.1024%,11.6743%,0.0000%,,378,199,19,8,400,163,285,2,5,2,0,0,2,228,0
Cluster 21,9140,9143,10274,,-4.8639,7.9255,14.9398,2.9187,2.7579,1.1696,39.4358,6.0543,5.9596,2.6936,407.0943,,-4.8640,7.9258,14.9395,2.9189,2.7575,1.1695,39.4306,6.0544,5.9593,2.6934,407.0557,,-4.8058,7.9721,14.9328,2.9237,2.7673,1.1712,39.6921,5.9962,5.9130,2.6866,399.0071,,-4.8639,7.9255,14.9398,1.1364,1.3905,3.7773,25.0018,2.8641,3.0984,7.1277,264.9439,,-4.8640,7.9258,14.9395,1.1364,1.3906,3.7771,25.0027,2.8642,3.0982,7.1277,264.9425,,-4.8058,7.9721,14.9328,1.1391,1.3874,3.7888,25.0807,2.8651,3.1011,7.0578,262.6696,,22.5637%,11.5498%,2.3078%,0.3937%,26.4574%,10.7514%,10.4670%,0.0875%,0.2844%,0.2297%,0.0109%,0.0219%,0.0109%,14.8638%,0.0000%,,20.0798%,10.2784%,2.0537%,0.3504%,23.5449%,9.5678%,9.3148%,0.0779%,0.2531%,0.2044%,0.0097%,0.0195%,0.0097%,13.2276%,0.0000%,,2063,1056,211,36,2419,983,957,8,26,21,1,2,1,1359,0
Cluster 22,251,251,272,,-2.2637,-20.6187,14.5388,0.6274,0.4508,0.4351,0.5155,1.4322,0.9446,0.9341,5.2934,,-2.2637,-20.6187,14.5388,0.6274,0.4508,0.4351,0.5155,1.4322,0.9446,0.9341,5.2934,,-2.2529,-20.6214,14.5390,0.6274,0.4441,0.4378,0.5110,1.4214,0.9419,0.9339,5.2373,,-2.2637,-20.6187,14.5388,0.3784,0.4638,0.6542,0.4809,0.9068,1.0589,1.4758,5.9362,,-2.2637,-20.6187,14.5388,0.3784,0.4638,0.6542,0.4809,0.9068,1.0589,1.4758,5.9362,,-2.2529,-20.6214,14.5390,0.3805,0.4613,0.6519,0.4794,0.9151,1.0477,1.4713,5.9087,,13.5458%,12.7490%,1.5936%,0.0000%,23.5060%,9.1633%,17.9283%,0.3984%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,21.1155%,0.0000%,,12.5000%,11.7647%,1.4706%,0.0000%,21.6912%,8.4559%,16.5441%,0.3676%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,19.4853%,0.0000%,,34,32,4,0,59,23,45,1,0,0,0,0,0,53,0
Cluster 23,1659,1659,1781,,3.9899,-17.0093,15.6004,1.0174,0.9318,0.8019,3.1847,2.3418,2.1646,1.8141,38.5198,,3.9899,-17.0093,15.6004,1.0174,0.9318,0.8019,3.1847,2.3418,2.1646,1.8141,38.5198,,3.9807,-17.0103,15.5939,1.0201,0.9339,0.8025,3.2025,2.3326,2.1656,1.8207,38.5241,,3.9899,-17.0093,15.6004,0.7728,0.9466,1.0263,3.1449,1.6469,2.1944,2.3685,35.8549,,3.9899,-17.0093,15.6004,0.7728,0.9466,1.0263,3.1449,1.6469,2.1944,2.3685,35.8549,,3.9807,-17.0103,15.5939,0.7706,0.9493,1.0305,3.1576,1.6545,2.1944,2.3506,35.7478,,17.3599%,11.6938%,1.1453%,0.1808%,24.8945%,8.7402%,18.8668%,0.1206%,0.1808%,0.1206%,0.0000%,0.0000%,0.0000%,16.6968%,0.0000%,,16.1707%,10.8928%,1.0668%,0.1684%,23.1892%,8.1415%,17.5744%,0.1123%,0.1684%,0.1123%,0.0000%,0.0000%,0.0000%,15.5531%,0.0000%,,288,194,19,3,413,145,313,2,3,2,0,0,0,277,0
Cluster 24,1288,1289,1434,,7.7533,-10.8858,14.7734,0.9837,0.9117,0.7069,2.6556,2.2575,2.0030,1.5480,29.3210,,7.7541,-10.8846,14.7731,0.9837,0.9124,0.7067,2.6570,2.2582,2.0018,1.5483,29.3181,,7.7415,-10.8676,14.7563,0.9949,0.9120,0.7064,2.6848,2.2457,1.9930,1.5651,29.3415,,7.7533,-10.8858,14.7734,0.6907,0.9114,0.9955,2.6246,1.4704,2.1073,2.2579,29.3059,,7.7541,-10.8846,14.7731,0.6904,0.9125,0.9951,2.6261,1.4704,2.1060,2.2582,29.2910,,7.7415,-10.8676,14.7563,0.6898,0.9147,1.0040,2.6536,1.4729,2.0911,2.2420,28.9244,,22.7308%,12.8782%,1.9395%,0.2327%,23.2739%,9.5423%,14.2746%,0.0000%,0.3879%,0.1552%,0.0000%,0.0776%,0.0000%,14.5074%,0.0000%,,20.4324%,11.5760%,1.7434%,0.2092%,20.9205%,8.5774%,12.8312%,0.0000%,0.3487%,0.1395%,0.0000%,0.0697%,0.0000%,13.0404%,0.0000%,,293,166,25,3,300,123,184,0,5,2,0,1,0,187,0
Cluster 25,1823,1823,2000,,-19.8233,9.9033,15.2686,0.9997,1.0699,0.8215,3.6809,2.4468,2.5828,1.9104,50.5722,,-19.8233,9.9033,15.2686,0.9997,1.0699,0.8215,3.6809,2.4468,2.5828,1.9104,50.5722,,-19.8248,9.9080,15.2729,1.0034,1.0578,0.8233,3.6600,2.4483,2.5875,1.9062,50.5826,,-19.8233,9.9033,15.2686,0.8094,0.9634,1.1117,3.6311,1.8386,2.1431,2.7656,45.6466,,-19.8233,9.9033,15.2686,0.8094,0.9634,1.1117,3.6311,1.8386,2.1431,2.7656,45.6466,,-19.8248,9.9080,15.2729,0.8126,0.9631,1.1026,3.6141,1.8313,2.1437,2.7534,45.2784,,22.4355%,11.4098%,1.7005%,0.6034%,24.3555%,8.6670%,15.3593%,0.0000%,0.4937%,0.1646%,0.0000%,0.0000%,0.0000%,14.8108%,0.0000%,,20.4500%,10.4000%,1.5500%,0.5500%,22.2000%,7.9000%,14.0000%,0.0000%,0.4500%,0.1500%,0.0000%,0.0000%,0.0000%,13.5000%,0.0000%,,409,208,31,11,444,158,280,0,9,3,0,0,0,270,0
Cluster 26,723,723,766,,-14.5654,-8.9074,15.4128,0.7403,0.7669,0.6351,1.5104,1.7011,1.7770,1.4585,18.4672,,-14.5654,-8.9074,15.4128,0.7403,0.7669,0.6351,1.5104,1.7011,1.7770,1.4585,18.4672,,-14.5574,-8.9079,15.4163,0.7410,0.7719,0.6312,1.5123,1.6931,1.7765,1.4550,18.3317,,-14.5654,-8.9074,15.4128,0.5482,0.7318,0.8388,1.4094,1.3411,1.6249,1.8779,17.1409,,-14.5654,-8.9074,15.4128,0.5482,0.7318,0.8388,1.4094,1.3411,1.6249,1.8779,17.1409,,-14.5574,-8.9079,15.4163,0.5500,0.7361,0.8361,1.4179,1.3536,1.6685,1.8771,17.7576,,17.8423%,10.9267%,0.5533%,0.6916%,27.6625%,6.9156%,17.8423%,0.0000%,0.2766%,0.4149%,0.0000%,0.0000%,0.0000%,16.8741%,0.0000%,,16.8407%,10.3133%,0.5222%,0.6527%,26.1097%,6.5274%,16.8407%,0.0000%,0.2611%,0.3916%,0.0000%,0.0000%,0.0000%,15.9269%,0.0000%,,129,79,4,5,200,50,129,0,2,3,0,0,0,122,0
Cluster 27,1102,1102,1182,,-20.9644,-1.3091,15.9145,0.8645,0.7938,0.6770,1.9459,2.0363,1.8555,1.5599,24.6888,,-20.9644,-1.3091,15.9145,0.8645,0.7938,0.6770,1.9459,2.0363,1.8555,1.5599,24.6888,,-20.9619,-1.3076,15.9135,0.8639,0.7998,0.6767,1.9587,2.0338,1.8571,1.5609,24.6954,,-20.9644,-1.3091,15.9145,0.6272,0.7901,0.9045,1.8775,1.4126,1.8268,2.1101,22.8093,,-20.9644,-1.3091,15.9145,0.6272,0.7901,0.9045,1.8775,1.4126,1.8268,2.1101,22.8093,,-20.9619,-1.3076,15.9135,0.6292,0.7916,0.9064,1.8910,1.4138,1.8263,2.0999,22.7109,,22.3230%,10.1633%,0.9982%,0.3630%,26.7695%,8.8929%,13.4301%,0.1815%,0.3630%,0.0907%,0.0000%,0.0000%,0.0000%,16.4247%,0.0000%,,20.8122%,9.4755%,0.9306%,0.3384%,24.9577%,8.2910%,12.5212%,0.1692%,0.3384%,0.0846%,0.0000%,0.0000%,0.0000%,15.3130%,0.0000%,,246,112,11,4,295,98,148,2,4,1,0,0,0,181,0
Cluster 28,753,753,897,,-2.5077,17.4283,15.7651,0.8457,0.9532,0.6745,2.2776,1.8942,2.0964,1.5438,25.6788,,-2.5077,17.4283,15.7651,0.8457,0.9532,0.6745,2.2776,1.8942,2.0964,1.5438,25.6788,,-2.4845,17.4251,15.7534,0.8420,0.9471,0.6758,2.2578,1.9174,2.0932,1.5555,26.1502,,-2.5077,17.4283,15.7651,0.6696,0.8471,0.9555,2.2700,1.5808,1.9045,2.1337,26.9090,,-2.5077,17.4283,15.7651,0.6696,0.8471,0.9555,2.2700,1.5808,1.9045,2.1337,26.9090,,-2.4845,17.4251,15.7534,0.6746,0.8413,0.9486,2.2554,1.5782,1.9016,2.0760,26.0970,,25.4980%,11.1554%,1.5936%,0.9296%,25.4980%,10.6242%,13.6786%,0.0000%,0.0000%,0.2656%,0.0000%,0.0000%,0.0000%,10.7570%,0.0000%,,21.4047%,9.3645%,1.3378%,0.7804%,21.4047%,8.9186%,11.4827%,0.0000%,0.0000%,0.2230%,0.0000%,0.0000%,0.0000%,9.0301%,0.0000%,,192,84,12,7,192,80,103,0,0,2,0,0,0,81,0
Cluster 29,5813,5815,6339,,12.8745,-17.0563,19.5565,1.3064,1.2745,1.5034,10.4848,3.0366,2.9289,3.1836,118.6009,,12.8740,-17.0557,19.5566,1.3065,1.2747,1.5033,10.4871,3.0371,2.9294,3.1834,118.6372,,12.8844,-17.0559,19.5407,1.3080,1.2801,1.5069,10.5682,3.0267,2.9293,3.1994,118.8153,,12.8745,-17.0563,19.5565,1.1226,1.3627,1.5729,10.0788,2.7452,3.1450,3.4819,125.9214,,12.8740,-17.0557,19.5566,1.1228,1.3630,1.5727,10.0812,2.7451,3.1459,3.4816,125.9421,,12.8844,-17.0559,19.5407,1.1270,1.3642,1.5776,10.1601,2.7334,3.1389,3.4966,125.6652,,24.4540%,11.1952%,2.2184%,0.3439%,24.6260%,10.7825%,12.0034%,0.0688%,0.2408%,0.1720%,0.0000%,0.0172%,0.0172%,13.8607%,0.0000%,,22.4326%,10.2698%,2.0350%,0.3155%,22.5903%,9.8912%,11.0112%,0.0631%,0.2209%,0.1578%,0.0000%,0.0158%,0.0158%,12.7149%,0.0000%,,1422,651,129,20,1432,627,698,4,14,10,0,1,1,806,0
Cluster 30,2293,2293,2638,,19.9847,-1.1854,18.8426,1.2578,1.2329,1.0031,6.5160,2.8889,2.7508,2.2033,73.3424,,19.9847,-1.1854,18.8426,1.2578,1.2329,1.0031,6.5160,2.8889,2.7508,2.2033,73.3424,,19.9905,-1.1635,18.8608,1.2581,1.2271,1.0005,6.4701,2.8948,2.7289,2.1851,72.3023,,19.9847,-1.1854,18.8426,0.9843,1.1961,1.3073,6.4466,2.2151,2.9216,2.8992,78.5901,,19.9847,-1.1854,18.8426,0.9843,1.1961,1.3073,6.4466,2.2151,2.9216,2.8992,78.5901,,19.9905,-1.1635,18.8608,0.9778,1.2045,1.2972,6.3994,2.2063,2.9256,2.8828,77.9428,,21.7619%,10.0305%,1.7444%,0.4361%,25.1199%,9.9433%,16.1361%,0.1744%,0.1744%,0.1308%,0.0000%,0.0000%,0.0000%,14.3480%,0.0000%,,18.9158%,8.7187%,1.5163%,0.3791%,21.8347%,8.6429%,14.0258%,0.1516%,0.1516%,0.1137%,0.0000%,0.0000%,0.0000%,12.4716%,0.0000%,,499,230,40,10,576,228,370,4,4,3,0,0,0,329,0
Cluster 31,348,348,370,,-14.2839,5.8628,17.3461,0.5031,0.5607,0.5541,0.6547,1.0899,1.3273,1.1977,7.2573,,-14.2839,5.8628,17.3461,0.5031,0.5607,0.5541,0.6547,1.0899,1.3273,1.1977,7.2573,,-14.2886,5.8650,17.3297,0.4956,0.5610,0.5474,0.6375,1.0946,1.3251,1.1813,7.1770,,-14.2839,5.8628,17.3461,0.4896,0.5370,0.5886,0.6482,1.0471,1.2736,1.4345,8.0139,,-14.2839,5.8628,17.3461,0.4896,0.5370,0.5886,0.6482,1.0471,1.2736,1.4345,8.0139,,-14.2886,5.8650,17.3297,0.4824,0.5373,0.5820,0.6317,1.0599,1.2907,1.4381,8.2411,,20.6897%,11.7816%,2.0115%,0.8621%,25.5747%,10.0575%,15.2299%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.7931%,0.0000%,,19.4595%,11.0811%,1.8919%,0.8108%,24.0541%,9.4595%,14.3243%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,12.9730%,0.0000%,,72,41,7,3,89,35,53,0,0,0,0,0,0,48,0
Cluster 32,1669,1669,1987,,3.6768,16.6745,18.2515,1.0662,1.1558,0.8841,4.5641,2.4430,2.4815,2.0114,51.0774,,3.6768,16.6745,18.2515,1.0662,1.1558,0.8841,4.5641,2.4430,2.4815,2.0114,51.0774,,3.6805,16.6834,18.2419,1.0620,1.1454,0.8882,4.5256,2.4466,2.4726,2.0018,50.7263,,3.6768,16.6745,18.2515,0.8803,1.0509,1.1726,4.5443,1.8903,2.3550,2.6598,49.5983,,3.6768,16.6745,18.2515,0.8803,1.0509,1.1726,4.5443,1.8903,2.3550,2.6598,49.5983,,3.6805,16.6834,18.2419,0.8836,1.0461,1.1635,4.5046,1.8626,2.3594,2.6652,49.0601,,22.5285%,10.1258%,1.9173%,0.5992%,24.6854%,12.4026%,16.5368%,0.2397%,0.2397%,0.1797%,0.0000%,0.0000%,0.0000%,10.5452%,0.0000%,,18.9230%,8.5053%,1.6105%,0.5033%,20.7348%,10.4177%,13.8903%,0.2013%,0.2013%,0.1510%,0.0000%,0.0000%,0.0000%,8.8576%,0.0000%,,376,169,32,10,412,207,276,4,4,3,0,0,0,176,0
Cluster 33,6555,6558,7099,,-13.6540,-0.3307,20.9458,1.3839,1.8917,1.4450,15.8456,3.2032,4.1114,3.1712,174.9372,,-13.6538,-0.3301,20.9461,1.3838,1.8915,1.4451,15.8437,3.2031,4.1108,3.1714,174.9194,,-13.6454,-0.3259,20.9457,1.3799,1.8937,1.4429,15.7936,3.1947,4.1066,3.1710,174.2605,,-13.6540,-0.3307,20.9458,1.1889,1.3430,2.0892,13.9723,2.7246,3.1017,4.5784,162.0734,,-13.6538,-0.3301,20.9461,1.1888,1.3431,2.0890,13.9711,2.7243,3.1017,4.5790,162.0747,,-13.6454,-0.3259,20.9457,1.1894,1.3382,2.0897,13.9314,2.7199,3.1062,4.5792,162.0582,,19.4267%,11.2534%,1.7993%,0.5032%,28.2251%,10.2928%,11.6651%,0.0457%,0.2440%,0.1982%,0.0000%,0.0152%,0.0305%,16.3007%,0.0000%,,17.9462%,10.3958%,1.6622%,0.4649%,26.0741%,9.5084%,10.7762%,0.0423%,0.2254%,0.1831%,0.0000%,0.0141%,0.0282%,15.0585%,0.0000%,,1274,738,118,33,1851,675,765,3,16,13,0,1,2,1069,0
Cluster 34,1521,1522,1737,,-2.1228,-1.5283,19.5065,1.1152,1.0232,0.7051,3.3705,2.5832,2.2320,1.6653,40.2198,,-2.1235,-1.5287,19.5073,1.1151,1.0230,0.7055,3.3714,2.5826,2.2316,1.6661,40.2211,,-2.1048,-1.5240,19.5112,1.1242,1.0225,0.7005,3.3728,2.6012,2.2363,1.6700,40.6924,,-2.1228,-1.5283,19.5065,0.7041,0.9707,1.1618,3.3264,1.6728,2.1344,2.5554,38.2172,,-2.1235,-1.5287,19.5073,0.7046,0.9704,1.1618,3.3273,1.6734,2.1344,2.5545,38.2192,,-2.1048,-1.5240,19.5112,0.6999,0.9726,1.1679,3.3306,1.6749,2.1882,2.5861,39.7019,,25.1643%,11.1038%,1.5769%,0.5256%,25.4271%,9.1984%,13.6005%,0.1314%,0.1314%,0.1314%,0.0000%,0.0657%,0.0000%,12.9435%,0.0000%,,22.0495%,9.7294%,1.3817%,0.4606%,22.2798%,8.0599%,11.9171%,0.1151%,0.1151%,0.1151%,0.0000%,0.0576%,0.0000%,11.3414%,0.0000%,,383,169,24,8,387,140,207,2,2,2,0,1,0,197,0
Cluster 35,2099,2101,2320,,11.7429,-8.9212,20.0608,1.0014,1.1301,0.9120,4.3231,2.3072,2.7336,2.0666,54.5972,,11.7426,-8.9210,20.0608,1.0012,1.1303,0.9119,4.3227,2.3068,2.7339,2.0666,54.5926,,11.7493,-8.9079,20.0479,1.0030,1.1357,0.9070,4.3279,2.3135,2.7470,2.0796,55.3583,,11.7429,-8.9212,20.0608,0.8990,0.9765,1.1618,4.2724,2.0358,2.3552,2.7112,54.4516,,11.7426,-8.9210,20.0608,0.8989,0.9762,1.1621,4.2717,2.0356,2.3560,2.7103,54.4481,,11.7493,-8.9079,20.0479,0.8934,0.9761,1.1694,4.2718,2.0466,2.3367,2.7010,54.1085,,23.8458%,11.8039%,1.8087%,0.4284%,23.4650%,9.1861%,14.5645%,0.0952%,0.1904%,0.0476%,0.0000%,0.0476%,0.0476%,14.4693%,0.0000%,,21.5948%,10.6897%,1.6379%,0.3879%,21.2500%,8.3190%,13.1897%,0.0862%,0.1724%,0.0431%,0.0000%,0.0431%,0.0431%,13.1034%,0.0000%,,501,248,38,9,493,193,306,2,4,1,0,1,1,304,0
Cluster 36,658,658,723,,-2.0749,-8.4041,19.9083,0.8455,0.7674,0.5329,1.4486,1.9135,1.7142,1.2523,17.2068,,-2.0749,-8.4041,19.9083,0.8455,0.7674,0.5329,1.4486,1.9135,1.7142,1.2523,17.2068,,-2.0698,-8.4098,19.9059,0.8478,0.7625,0.5302,1.4359,1.9083,1.7198,1.2548,17.2504,,-2.0749,-8.4041,19.9083,0.5163,0.7742,0.8496,1.4227,1.1414,1.6767,1.8887,15.1399,,-2.0749,-8.4041,19.9083,0.5163,0.7742,0.8496,1.4227,1.1414,1.6767,1.8887,15.1399,,-2.0698,-8.4098,19.9059,0.5142,0.7683,0.8525,1.4107,1.1398,1.6795,1.8875,15.1355,,19.6049%,9.8784%,1.6717%,0.3040%,27.9635%,8.9666%,18.0851%,0.0000%,0.3040%,0.0000%,0.0000%,0.0000%,0.0000%,13.2219%,0.0000%,,17.8423%,8.9903%,1.5214%,0.2766%,25.4495%,8.1604%,16.4592%,0.0000%,0.2766%,0.0000%,0.0000%,0.0000%,0.0000%,12.0332%,0.0000%,,129,65,11,2,184,59,119,0,2,0,0,0,0,87,0
Cluster 37,706,706,789,,4.0082,-4.2461,19.5970,0.7884,0.8027,0.5717,1.5156,1.8670,1.6719,1.4078,18.4073,,4.0082,-4.2461,19.5970,0.7884,0.8027,0.5717,1.5156,1.8670,1.6719,1.4078,18.4073,,4.0023,-4.2515,19.5975,0.7863,0.8048,0.5770,1.5296,1.8611,1.6764,1.4083,18.4044,,4.0082,-4.2461,19.5970,0.5545,0.7146,0.8802,1.4609,1.3381,1.6524,1.9086,17.6773,,4.0082,-4.2461,19.5970,0.5545,0.7146,0.8802,1.4609,1.3381,1.6524,1.9086,17.6773,,4.0023,-4.2515,19.5975,0.5628,0.7246,0.8701,1.4864,1.3509,1.6438,1.9048,17.7177,,23.7960%,12.8895%,1.9830%,0.5666%,24.9292%,9.7734%,13.5977%,0.0000%,0.2833%,0.4249%,0.0000%,0.0000%,0.0000%,11.7564%,0.0000%,,21.2928%,11.5336%,1.7744%,0.5070%,22.3067%,8.7452%,12.1673%,0.0000%,0.2535%,0.3802%,0.0000%,0.0000%,0.0000%,10.5196%,0.0000%,,168,91,14,4,176,69,96,0,2,3,0,0,0,83,0
Cluster 38,2009,2009,2285,,12.2908,4.6151,20.0341,1.1134,1.1834,0.8926,4.9266,2.5099,2.4992,1.9689,51.7333,,12.2908,4.6151,20.0341,1.1134,1.1834,0.8926,4.9266,2.5099,2.4992,1.9689,51.7333,,12.2941,4.6221,20.0411,1.1175,1.1807,0.8953,4.9481,2.5132,2.4922,1.9935,52.2996,,12.2908,4.6151,20.0341,0.8615,1.1023,1.2165,4.8387,1.9813,2.4008,2.6703,53.2031,,12.2908,4.6151,20.0341,0.8615,1.1023,1.2165,4.8387,1.9813,2.4008,2.6703,53.2031,,12.2941,4.6221,20.0411,0.8640,1.1061,1.2143,4.8609,1.9785,2.4055,2.6603,53.0329,,23.3947%,11.6476%,1.7422%,0.5475%,24.7885%,10.9009%,12.7427%,0.0996%,0.2987%,0.2987%,0.0498%,0.0000%,0.0000%,13.4893%,0.0000%,,20.5689%,10.2407%,1.5317%,0.4814%,21.7943%,9.5842%,11.2035%,0.0875%,0.2626%,0.2626%,0.0438%,0.0000%,0.0000%,11.8600%,0.0000%,,470,234,35,11,498,219,256,2,6,6,1,0,0,271,0
Cluster 39,2589,2591,2781,,-4.1466,-16.1993,21.6650,1.0194,1.0226,1.0763,4.6997,2.3091,2.3541,2.3866,54.3414,,-4.1470,-16.2002,21.6654,1.0199,1.0227,1.0766,4.7038,2.3087,2.3549,2.3862,54.3436,,-4.1594,-16.1878,21.6726,1.0221,1.0247,1.0761,4.7211,2.2964,2.3426,2.3790,53.6072,,-4.1466,-16.1993,21.6650,0.9837,1.0059,1.1242,4.6595,2.2997,2.3073,2.4464,54.3731,,-4.1470,-16.2002,21.6654,0.9841,1.0056,1.1250,4.6631,2.2989,2.3079,2.4539,54.5353,,-4.1594,-16.1878,21.6726,0.9873,1.0096,1.1219,4.6844,2.2992,2.2721,2.4596,53.8213,,21.3431%,11.5399%,1.5824%,0.4631%,26.5535%,8.9927%,12.6592%,0.1544%,0.3088%,0.3860%,0.0772%,0.0772%,0.0000%,15.8626%,0.0000%,,19.8849%,10.7515%,1.4743%,0.4315%,24.7393%,8.3783%,11.7943%,0.1438%,0.2877%,0.3596%,0.0719%,0.0719%,0.0000%,14.7789%,0.0000%,,553,299,41,12,688,233,328,4,8,10,2,2,0,411,0
Cluster 40,1846,1846,1984,,-21.5570,4.3520,21.2895,1.0050,0.9090,0.7824,2.9939,2.2861,2.0802,1.7756,35.3707,,-21.5570,4.3520,21.2895,1.0050,0.9090,0.7824,2.9939,2.2861,2.0802,1.7756,35.3707,,-21.5475,4.3612,21.2908,1.0081,0.9139,0.7812,3.0146,2.2766,2.0710,1.7769,35.0928,,-21.5570,4.3520,21.2895,0.7413,0.9095,1.0352,2.9237,1.7571,2.0771,2.3404,35.7777,,-21.5570,4.3520,21.2895,0.7413,0.9095,1.0352,2.9237,1.7571,2.0771,2.3404,35.7777,,-21.5475,4.3612,21.2908,0.7388,0.9156,1.0381,2.9414,1.7540,2.0539,2.3172,34.9676,,24.0520%,11.3759%,1.4626%,0.1625%,24.2687%,9.3174%,15.5471%,0.0542%,0.2167%,0.1083%,0.0000%,0.0000%,0.0000%,13.4345%,0.0000%,,22.3790%,10.5847%,1.3609%,0.1512%,22.5806%,8.6694%,14.4657%,0.0504%,0.2016%,0.1008%,0.0000%,0.0000%,0.0000%,12.5000%,0.0000%,,444,210,27,3,448,172,287,1,4,2,0,0,0,248,0
Cluster 41,1496,1500,1690,,-7.7655,14.8142,22.0090,0.9921,1.0567,0.8727,3.8324,2.0853,2.3276,1.9445,39.5347,,-7.7652,14.8126,22.0074,0.9929,1.0560,0.8725,3.8317,2.0857,2.3260,1.9461,39.5464,,-7.7812,14.8027,22.0118,0.9903,1.0523,0.8716,3.8044,2.0936,2.3161,1.9417,39.4385,,-7.7655,14.8142,22.0090,0.7853,1.0198,1.0982,3.6837,1.9292,2.3841,2.3507,45.2887,,-7.7652,14.8126,22.0074,0.7850,1.0201,1.0979,3.6824,1.9272,2.3845,2.3478,45.1937,,-7.7812,14.8027,22.0118,0.7873,1.0177,1.0918,3.6643,1.9338,2.3655,2.3280,44.6065,,23.8000%,9.6000%,2.6667%,0.6000%,24.6000%,12.2667%,14.4667%,0.1333%,0.0667%,0.1333%,0.0000%,0.0667%,0.2000%,11.4000%,0.0000%,,21.1243%,8.5207%,2.3669%,0.5325%,21.8343%,10.8876%,12.8402%,0.1183%,0.0592%,0.1183%,0.0000%,0.0592%,0.1775%,10.1183%,0.0000%,,357,144,40,9,369,184,217,2,1,2,0,1,3,171,0
